City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Beloha,MG,2021-11-23 05:11:00,-25.1667,45.05,80.08,59,62,4.27
261,Virginia Beach,US,2021-11-23 05:08:47,36.8529,-75.978,46.02,63,95,3.0
262,Hoskote,IN,2021-11-23 05:11:00,13.0669,77.7983,81.59,71,40,4.61
263,Khani,GE,2021-11-23 05:11:01,41.9563,42.9566,31.57,56,5,5.61
264,Dikson,RU,2021-11-23 05:11:01,73.5069,80.5464,-9.22,96,100,17.54
265,Kavieng,PG,2021-11-23 05:11:01,-2.5744,150.7967,84.47,74,57,13.94
266,Buin,CL,2021-11-23 05:11:02,-33.7333,-70.75,72.73,48,0,1.57
267,Boralday,KZ,2021-11-23 05:11:02,43.3578,76.8594,39.06,65,40,2.24
268,Rio Claro,BR,2021-11-23 05:10:45,-22.4114,-47.5614,60.8,64,5,0.74
269,Mar Del Plata,AR,2021-11-23 05:09:52,-38.0023,-57.5575,55.87,63,5,11.99
270,Lagoa,PT,2021-11-23 05:11:02,39.05,-27.9833,64.8,87,34,18.54
271,Mayo,US,2021-11-23 05:11:03,38.8876,-76.5119,39.18,55,1,7.0
272,Ahipara,NZ,2021-11-23 05:08:59,-35.1667,173.1667,65.26,68,20,10.38
273,Mokhsogollokh,RU,2021-11-23 05:11:03,61.4681,128.9203,-13.95,85,100,3.09
274,Clyde River,CA,2021-11-23 05:11:03,70.4692,-68.5914,4.24,96,100,3.44
275,Mahebourg,MU,2021-11-23 05:12:04,-20.4081,57.7,82.26,65,20,8.12
276,Pangnirtung,CA,2021-11-23 05:12:04,66.1451,-65.7125,22.86,75,100,15.7
277,Ribeira Grande,PT,2021-11-23 05:12:04,38.5167,-28.7,65.95,86,22,18.12
278,Grindavik,IS,2021-11-23 05:12:04,63.8424,-22.4338,39.67,81,75,11.5
279,Pacifica,US,2021-11-23 05:12:05,37.6138,-122.4869,61.07,73,20,4.0
280,La Ronge,CA,2021-11-23 05:12:05,55.1001,-105.2842,21.78,91,100,11.43
281,Port Lincoln,AU,2021-11-23 05:12:05,-34.7333,135.8667,68.27,62,98,12.86
282,Ambulu,ID,2021-11-23 05:12:06,-8.345,113.6058,84.52,74,100,5.28
283,Banda Aceh,ID,2021-11-23 05:12:06,5.5577,95.3222,83.86,71,96,7.67
284,Guaraniacu,BR,2021-11-23 05:12:06,-25.1008,-52.8781,62.11,66,94,0.54
285,Ko Samui,TH,2021-11-23 05:12:06,9.5357,99.9357,81.54,81,100,10.69
286,Sorland,NO,2021-11-23 05:12:07,67.667,12.6934,35.67,76,100,27.31
287,Naze,JP,2021-11-23 05:12:07,28.3667,129.4833,60.28,64,90,15.23
288,Sironko,UG,2021-11-23 05:12:07,1.2313,34.2477,71.65,49,100,0.69
289,Meulaboh,ID,2021-11-23 05:12:08,4.1363,96.1285,80.37,80,100,2.66
